Unit,Subunit,Group,area_ha,mrb_dist,area,perimeter,fid,DN,Class_area,Class_percentage
Holland,Trap and Release Pasture,North,19.123,"1000",4929685.077758789993823,9995.330901150737191,9761,"6",899.874,0.018
No Name Knob,No Name Knob,South,6.791,"1000",4174546.430175781250000,8361.979467894785557,12172,"2",194047.886,4.648
No Name Knob,No Name Knob,South,6.791,"1000",4174546.430175781250000,8361.979467894785557,12336,"1",2405660.897,57.627
No Name Knob,No Name Knob,South,6.791,"1000",4174546.430175781250000,8361.979467894785557,12050,"4",341298.788,8.176
No Name Knob,No Name Knob,South,6.791,"1000",4174546.430175781250000,8361.979467894785557,12500,"3",674331.987,16.153
Doug Dot,Dot's Knob,South,3.880,"1000",3973548.473754882812500,7959.352299378589123,11514,"1",2715405.830,68.337
Doug Dot,Dot's Knob,South,3.880,"1000",3973548.473754882812500,7959.352299378589123,10731,"2",627043.590,15.780
Doug Dot,Dot's Knob,South,3.880,"1000",3973548.473754882812500,7959.352299378589123,10609,"3",64286.868,1.618
Doug Dot,Dot's Knob,South,3.880,"1000",3973548.473754882812500,7959.352299378589123,11639,"4",191289.980,4.814
Doug Dot,Dot's Knob,South,3.880,"1000",3973548.473754882812500,7959.352299378589123,12573,"5",33295.625,0.838
Eight Oaks,Eight Oaks,South,7.237,"1000",4645560.255371093750000,9415.832015561238222,11454,"7",301912.494,6.499
Doug Dot,Dot's Knob,South,3.880,"1000",3973548.473754882812500,7959.352299378589123,10654,"7",341683.120,8.599
Eight Oaks,Eight Oaks,South,7.237,"1000",4645560.255371093750000,9415.832015561238222,12495,"5",40267.788,0.867
Eight Oaks,Eight Oaks,South,7.237,"1000",4645560.255371093750000,9415.832015561238222,11639,"4",100899.778,2.172
Eight Oaks,Eight Oaks,South,7.237,"1000",4645560.255371093750000,9415.832015561238222,11515,"3",183949.861,3.960
Eight Oaks,Eight Oaks,South,7.237,"1000",4645560.255371093750000,9415.832015561238222,11716,"2",1306001.114,28.113
Eight Oaks,Eight Oaks,South,7.237,"1000",4645560.255371093750000,9415.832015561238222,11514,"1",2711877.449,58.376
Knittentail Knob,Knittentail Knob,South,12.527,"1000",4608441.770019531250000,9263.853645777951897,11985,"1",2378026.055,51.602
Tim's Knob,Tim's Knob,South,2.670,"1000",3784590.953613281250000,7575.524636428791382,12537,"1",2580189.299,68.176
Knittentail Knob,Knittentail Knob,South,12.527,"1000",4608441.770019531250000,9263.853645777951897,12133,"4",51998.031,1.128
Tim's Knob,Tim's Knob,South,2.670,"1000",3784590.953613281250000,7575.524636428791382,12389,"2",637369.503,16.841
Knittentail Knob,Knittentail Knob,South,12.527,"1000",4608441.770019531250000,9263.853645777951897,12495,"5",38803.479,0.842
Tim's Knob,Tim's Knob,South,2.670,"1000",3784590.953613281250000,7575.524636428791382,12500,"3",118586.046,3.133
Knittentail Knob,Knittentail Knob,South,12.527,"1000",4608441.770019531250000,9263.853645777951897,12192,"2",1349727.564,29.288
Tim's Knob,Tim's Knob,South,2.670,"1000",3784590.953613281250000,7575.524636428791382,12390,"4",80092.733,2.116
Knittentail Knob,Knittentail Knob,South,12.527,"1000",4608441.770019531250000,9263.853645777951897,12500,"3",477233.170,10.356
Tim's Knob,Tim's Knob,South,2.670,"1000",3784590.953613281250000,7575.524636428791382,12573,"5",43317.635,1.145
Tellabs,Tellabs Center,North,31.942,"1000",5416254.669311523437500,10835.609835948462205,11317,"5",24296.385,0.449
Tellabs,Tellabs Center,North,31.942,"1000",5416254.669311523437500,10835.609835948462205,10261,"4",19670.749,0.363
Tim's Knob,Tim's Knob,South,2.670,"1000",3784590.953613281250000,7575.524636428791382,12221,"7",324518.034,8.575
Tellabs,Tellabs Center,North,31.942,"1000",5416254.669311523437500,10835.609835948462205,10228,"3",1144496.142,21.131
Knittentail Knob,Knittentail Knob,South,12.527,"1000",4608441.770019531250000,9263.853645777951897,12221,"7",311994.647,6.770
Tellabs,Tellabs Center,North,31.942,"1000",5416254.669311523437500,10835.609835948462205,10365,"2",1869349.077,34.514
Coyote Point,Coyote Point,South,2.418,"1000",3784629.225097656250000,7572.789532542220513,12573,"5",39265.352,1.037
Tellabs,Tellabs Center,North,31.942,"1000",5416254.669311523437500,10835.609835948462205,10231,"1",1532050.424,28.286
Coyote Point,Coyote Point,South,2.418,"1000",3784629.225097656250000,7572.789532542220513,12133,"4",83173.226,2.198
Coyote Point,Coyote Point,South,2.418,"1000",3784629.225097656250000,7572.789532542220513,12221,"7",252278.077,6.666
Doug Dot,Doug Dot,South,20.801,"1000",5361643.614257812500000,10989.949475324712694,10529,"2",992664.528,18.514
Doug Dot,Doug's Knob,South,2.500,"1000",3748787.493774414062500,7506.212878145875948,12573,"5",35995.248,0.960
Main Unit Knobs,Main Unit Knobs,South,30.830,"1000",5940594.484497070312500,12416.612351739311634,12573,"5",62991.559,1.060
Doug Dot,Doug Dot,South,20.801,"1000",5361643.614257812500000,10989.949475324712694,10528,"1",3464156.377,64.610
Tellabs,Tellabs Center,North,31.942,"1000",5416254.669311523437500,10835.609835948462205,10229,"7",825557.611,15.242
Doug Dot,Doug's Knob,South,2.500,"1000",3748787.493774414062500,7506.212878145875948,11319,"7",328558.501,8.764
Main Unit Knobs,Main Unit Knobs,South,30.830,"1000",5940594.484497070312500,12416.612351739311634,12500,"3",847246.331,14.262
Coyote Point,Coyote Point,South,2.418,"1000",3784629.225097656250000,7572.789532542220513,12535,"1",2530644.664,66.866
Main Unit Knobs,Main Unit Knobs,South,30.830,"1000",5940594.484497070312500,12416.612351739311634,11987,"4",236203.430,3.976
Doug Dot,Doug's Knob,South,2.500,"1000",3748787.493774414062500,7506.212878145875948,11514,"1",2402411.680,64.085
Main Unit Knobs,Main Unit Knobs,South,30.830,"1000",5940594.484497070312500,12416.612351739311634,12336,"1",3104966.238,52.267
Coyote Point,Coyote Point,South,2.418,"1000",3784629.225097656250000,7572.789532542220513,12500,"3",55515.014,1.467
Doug Dot,Doug's Knob,South,2.500,"1000",3748787.493774414062500,7506.212878145875948,11263,"2",849833.705,22.670
Main Unit Knobs,Main Unit Knobs,South,30.830,"1000",5940594.484497070312500,12416.612351739311634,12172,"2",945478.368,15.916
Coyote Point,Coyote Point,South,2.418,"1000",3784629.225097656250000,7572.789532542220513,12192,"2",823229.699,21.752
Doug Dot,Doug's Knob,South,2.500,"1000",3748787.493774414062500,7506.212878145875948,11292,"3",30311.719,0.809
Doug Dot,Doug's Knob,South,2.500,"1000",3748787.493774414062500,7506.212878145875948,11639,"4",101158.694,2.698
Main Unit Knobs,Main Unit Knobs,South,30.830,"1000",5940594.484497070312500,12416.612351739311634,12082,"7",742910.957,12.506
No Name Knob,No Name Knob,South,6.791,"1000",4174546.430175781250000,8361.979467894785557,12573,"5",55317.520,1.325
No Name Knob,No Name Knob,South,6.791,"1000",4174546.430175781250000,8361.979467894785557,12027,"7",503347.642,12.058
Visitor Use Area,Visitor Use Area,South,11.235,"1000",4455684.489990234375000,8914.533439690676460,11689,"1",2691143.705,60.398
Clear Creek,Clear Creek Knolls,East,166.683,"1000",9113144.525024414062500,18434.612676313336124,8012,"3",4778529.353,52.436
Visitor Use Area,Visitor Use Area,South,11.235,"1000",4455684.489990234375000,8914.533439690676460,11639,"4",607548.385,13.635
Clear Creek,Clear Creek Knolls,East,166.683,"1000",9113144.525024414062500,18434.612676313336124,8632,"2",263303.572,2.889
Visitor Use Area,Visitor Use Area,South,11.235,"1000",4455684.489990234375000,8914.533439690676460,12573,"5",35995.248,0.808
Clear Creek,Clear Creek Knolls,East,166.683,"1000",9113144.525024414062500,18434.612676313336124,7982,"1",2424304.442,26.602
Visitor Use Area,Visitor Use Area,South,11.235,"1000",4455684.489990234375000,8914.533439690676460,11786,"2",139110.551,3.122
Visitor Use Area,Visitor Use Area,South,11.235,"1000",4455684.489990234375000,8914.533439690676460,11755,"3",531871.873,11.937
Coneflower,Coneflower,South,6.861,"1000",4356612.199096679687500,8761.238501276462557,12573,"5",45358.661,1.041
Bishop,Bishop South,East,11.427,"1000",4551074.564208984375000,9105.240959446746274,8214,"1",1838027.625,40.387
Coneflower,Coneflower,South,6.861,"1000",4356612.199096679687500,8761.238501276462557,11785,"7",433677.924,9.954
Bishop,Bishop South,East,11.427,"1000",4551074.564208984375000,9105.240959446746274,9071,"2",472712.561,10.387
Big_jump_center,Orland Center,North,24.973,"1000",5224155.739624023437500,10455.442022376093519,6599,"7",753701.258,14.427
Bishop,Bishop South,East,11.427,"1000",4551074.564208984375000,9105.240959446746274,8245,"3",1563514.726,34.355
Bishop,Bishop South,East,11.427,"1000",4551074.564208984375000,9105.240959446746274,9551,"4",136221.156,2.993
Big_jump_center,Orland Center,North,24.973,"1000",5224155.739624023437500,10455.442022376093519,6775,"5",259455.637,4.966
Big_jump_center,Orland Center,North,24.973,"1000",5224155.739624023437500,10455.442022376093519,9029,"6",2525.801,0.048
Big_jump_center,Orland Center,North,24.973,"1000",5224155.739624023437500,10455.442022376093519,6559,"3",602122.655,11.526
Bishop,Bishop South,East,11.427,"1000",4551074.564208984375000,9105.240959446746274,8074,"7",540043.881,11.866
Big_jump_center,Orland Center,North,24.973,"1000",5224155.739624023437500,10455.442022376093519,7673,"4",21706.339,0.415
Big_jump_center,Orland Center,North,24.973,"1000",5224155.739624023437500,10455.442022376093519,6650,"1",1301315.801,24.910
Big_jump_center,Orland Center,North,24.973,"1000",5224155.739624023437500,10455.442022376093519,6776,"2",2282559.481,43.692
Tellabs,Tellabs West,North,22.350,"1000",5086558.763427734375000,10176.252697330186493,11635,"5",24296.368,0.478
Tellabs,Tellabs West,North,22.350,"1000",5086558.763427734375000,10176.252697330186493,10211,"4",14799.295,0.291
Tellabs,Tellabs West,North,22.350,"1000",5086558.763427734375000,10176.252697330186493,10210,"7",888633.608,17.470
Tellabs,Tellabs West,North,22.350,"1000",5086558.763427734375000,10176.252697330186493,10293,"1",1069348.296,21.023
Tellabs,Tellabs West,North,22.350,"1000",5086558.763427734375000,10176.252697330186493,10228,"3",1469173.692,28.883
Tellabs,Tellabs West,North,22.350,"1000",5086558.763427734375000,10176.252697330186493,10291,"2",1619502.007,31.839
Visitor Use Area,Visitor Use Area,South,11.235,"1000",4455684.489990234375000,8914.533439690676460,11571,"7",449435.626,10.087
Holland,Holland West Savanna,North,9.720,"1000",4424329.151000976562500,8858.268249171464049,10015,"5",7500.646,0.170
Holland,Holland West Savanna,North,9.720,"1000",4424329.151000976562500,8858.268249171464049,9895,"7",691089.629,15.620
Holland,Holland West Savanna,North,9.720,"1000",4424329.151000976562500,8858.268249171464049,9928,"2",1511146.228,34.155
Holland,Holland West Savanna,North,9.720,"1000",4424329.151000976562500,8858.268249171464049,9929,"1",1646307.570,37.210
