date,site,visit_number,quadrat,flower_species,inflorescene_type,avg_flow_inflorescene,num_plants,num_flower
6/16/2020,holland_prairie_east,1,1,PENDIG,flower,1,9,75
6/16/2020,holland_prairie_east,1,2,TRIREP,head,11,na,46
6/16/2020,holland_prairie_east,1,2,PENDIG,flower,1,2,6
6/16/2020,holland_prairie_east,1,3,TRIPRA,head,65,na,92
6/16/2020,holland_prairie_east,1,3,TRAOHI,flower,1,1,3
6/16/2020,holland_prairie_east,1,4,TRAOHI,flower,1,1,3
6/16/2020,holland_prairie_east,1,5,TRAOHI,flower,1,5,12
6/16/2020,holland_prairie_east,1,5,PENDIG,flower,1,2,27
6/16/2020,holland_prairie_east,1,6,TRIHYB,head,22,na,163
6/16/2020,holland_prairie_east,1,7,PENDIG,flower,1,3,16
6/16/2020,holland_prairie_east,1,7,TRIPRA,head,65,na,24
6/16/2020,holland_prairie_east,1,7,TRIHYB,head,22,na,96
6/16/2020,holland_prairie_east,1,8,TRAOHI,flower,1,1,2
6/16/2020,holland_prairie_east,1,8,TRIPRA,head,65,na,49
6/16/2020,holland_prairie_east,1,8,TRIREP,head,11,na,4
6/16/2020,holland_prairie_east,1,9,TRIHYB,head,22,na,105
6/16/2020,holland_prairie_east,1,10,TRAOHI,flower,1,1,2
6/16/2020,holland_prairie_east,1,10,PENDIG,flower,1,6,38
6/16/2020,holland_prairie_east,1,10,TRIREP,head,11,na,2
6/16/2020,oak_island,1,1,ERISTR,flower,1,1,5
6/16/2020,oak_island,1,2,ERISTR,flower,1,2,10
6/16/2020,oak_island,1,3,TRIREP,head,21,na,15
6/16/2020,oak_island,1,3,ERISTR,flower,1,1,16
6/16/2020,oak_island,1,4,ACHMIL,head,99,1,7
6/16/2020,oak_island,1,4,TRIREP,head,21,na,12
6/16/2020,oak_island,1,4,TRIPRA,head,72,na,28
6/16/2020,oak_island,1,4,TRIHYB,head,17,na,10
6/16/2020,oak_island,1,5,TRIPRA,head,72,na,12
6/16/2020,oak_island,1,5,TRIHYB,head,17,na,4
6/16/2020,oak_island,1,6,TRIREP,head,21,na,5
6/16/2020,oak_island,1,7,TRIREP,head,21,na,16
6/16/2020,oak_island,1,7,TRIHYB,head,17,na,29
6/16/2020,oak_island,1,8,TRIREP,head,21,na,1
6/16/2020,oak_island,1,8,TRIPRA,head,72,na,1
6/16/2020,oak_island,1,8,ACHMIL,head,99,1,1
6/16/2020,oak_island,1,8,MEDLUP,flower,1,2,4
6/16/2020,oak_island,1,9,TRIHYB,head,17,na,40
6/16/2020,oak_island,1,9,TRIPRA,head,72,na,24
6/16/2020,oak_island,1,10,TRIHYB,head,17,na,8
6/16/2020,oak_island,1,10,TRIPRA,head,72,na,15
6/16/2020,oak_island,1,10,TRIREP,head,21,na,5
6/16/2020,flag_lowden,1,1,PENDIG,flower,1,1,18
