Date,Site,Quadrat,Bare,Rocky,Litter,Grass,Forb,Litter Depth
7/24/2020,big_jump_center,4,0,0,0,5,95,11
7/24/2020,big_jump_center,6,0,0,0,75,25,5
7/24/2020,big_jump_center,3,0,0,0,45,55,4
7/24/2020,big_jump_center,7,0,0,0,50,50,4
7/24/2020,big_jump_center,1,0,0,0,25,75,2
7/24/2020,big_jump_center,5,0,0,0,0,100,2
7/24/2020,big_jump_center,2,0,0,0,10,90,1
7/24/2020,big_jump_center,9,5,0,0,65,30,1
7/24/2020,big_jump_center,8,5,0,0,80,15,0
7/24/2020,big_jump_center,10,0,0,0,50,50,0
7/24/2020,big_jump_east,1,0,0,15,35,50,23
7/24/2020,big_jump_east,9,0,0,5,45,40,16
7/24/2020,big_jump_east,6,0,0,0,0,100,13
7/24/2020,big_jump_east,2,0,0,10,10,80,11
7/24/2020,big_jump_east,3,0,0,10,20,70,10
7/24/2020,big_jump_east,4,0,0,10,90,0,8
7/24/2020,big_jump_east,10,0,0,0,65,35,8
7/24/2020,big_jump_east,8,0,0,5,10,85,4
7/24/2020,big_jump_east,5,0,0,5,20,75,2
7/24/2020,big_jump_east,7,0,0,5,30,65,1
7/8/2020,big_woods,2,0,0,20,55,25,5
7/8/2020,big_woods,7,0,0,5,45,50,5
7/8/2020,big_woods,8,0,0,35,30,25,4
7/8/2020,big_woods,1,10,0,0,50,40,3
7/8/2020,big_woods,3,5,0,40,40,15,2
7/8/2020,big_woods,6,5,0,20,10,65,2
7/8/2020,big_woods,4,5,0,15,5,75,1
7/8/2020,big_woods,9,0,0,25,45,35,1
7/8/2020,big_woods,5,15,0,10,45,35,0
7/8/2020,big_woods,10,10,0,15,30,45,0
7/14/2020,clear_creek_south,3,0,0,20,50,30,11
7/14/2020,clear_creek_south,10,0,0,40,45,15,10
7/14/2020,clear_creek_south,8,0,0,0,90,10,8
7/14/2020,clear_creek_south,4,0,0,15,10,75,7
7/14/2020,clear_creek_south,2,0,0,50,25,25,6
7/14/2020,clear_creek_south,1,0,0,25,35,40,4
7/14/2020,clear_creek_south,5,0,0,20,75,5,2
7/14/2020,clear_creek_south,6,0,0,20,10,70,1
7/14/2020,clear_creek_south,9,0,0,30,60,10,1
7/14/2020,clear_creek_south,7,0,0,10,75,15,0
7/15/2020,dots_knob,8,0,0,5,35,60,10
7/15/2020,dots_knob,9,0,0,0,55,45,7
7/15/2020,dots_knob,10,0,0,20,40,40,7
7/15/2020,dots_knob,5,0,0,0,60,40,6
7/15/2020,dots_knob,7,0,0,0,45,55,5
7/15/2020,dots_knob,2,0,0,15,55,30,4
7/15/2020,dots_knob,4,0,0,10,40,50,4
7/15/2020,dots_knob,1,0,0,30,35,35,1
7/15/2020,dots_knob,6,0,0,10,45,45,1
7/15/2020,dots_knob,3,0,0,20,55,25,0
7/9/2020,doug_dot_unit,2,0,0,5,70,25,4
7/9/2020,doug_dot_unit,3,0,0,10,50,40,3
7/9/2020,doug_dot_unit,5,10,0,5,45,40,3
7/9/2020,doug_dot_unit,8,5,0,5,25,65,3
7/9/2020,doug_dot_unit,9,5,0,5,35,55,3
7/9/2020,doug_dot_unit,6,5,0,5,25,65,2
