Unique_ID,date,site,visit_number,surveyor,survery_start,survey_end,temp,start_sky,end_sky,bee_species,sex,flower_species,marked?,gps_point,notes
Nachusa2020_0001,6/16/2020,holland_prairie_east,1,CRD,9:18:00 AM,9:50:00 AM,71,1,1,bimaculatus,Female,PENDIG,No,na,
Nachusa2020_0002,6/16/2020,holland_prairie_east,1,CRD,9:18:00 AM,9:50:00 AM,71,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0003,6/16/2020,holland_prairie_east,1,CRD,9:18:00 AM,9:50:00 AM,71,1,1,griseocollis,Female,TRIREP,No,na,
Nachusa2020_0004,6/16/2020,holland_prairie_east,1,CRD,9:18:00 AM,9:50:00 AM,71,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0005,6/16/2020,holland_prairie_east,1,CRD,9:18:00 AM,9:50:00 AM,71,1,1,impatiens,Female,PENDIG,No,na,
Nachusa2020_0006,6/16/2020,holland_prairie_east,1,CRD,9:18:00 AM,9:50:00 AM,71,1,1,griseocollis,Female,PENDIG,No,na,
Nachusa2020_0007,6/16/2020,holland_prairie_east,1,CRD,9:18:00 AM,9:50:00 AM,71,1,1,fervidus,Female,PENDIG,No,na,
Nachusa2020_0008,6/16/2020,holland_prairie_east,1,CRD,9:18:00 AM,9:50:00 AM,71,1,1,griseocollis,Female,PENDIG,No,na,
Nachusa2020_0009,6/16/2020,oak_island,1,CRD,11:14:00 AM,11:43:00 AM,78,1,1,auricomus,Female,TRIPRA,No,na,
Nachusa2020_0010,6/16/2020,oak_island,1,CRD,11:14:00 AM,11:43:00 AM,78,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0011,6/16/2020,oak_island,1,CRD,11:14:00 AM,11:43:00 AM,78,1,1,impatiens,Female,TRIREP,No,na,
Nachusa2020_0012,6/16/2020,oak_island,1,CRD,11:14:00 AM,11:43:00 AM,78,1,1,griseocollis,Female,TRIREP,No,na,
Nachusa2020_0013,6/16/2020,oak_island,1,CRD,11:14:00 AM,11:43:00 AM,78,1,1,impatiens,Female,TRIREP,No,na,
Nachusa2020_0014,6/16/2020,oak_island,1,CRD,11:14:00 AM,11:43:00 AM,78,1,1,griseocollis,Female,TRIREP,No,na,
Nachusa2020_0015,6/16/2020,oak_island,1,CRD,11:14:00 AM,11:43:00 AM,78,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0016,6/16/2020,oak_island,1,CRD,11:14:00 AM,11:43:00 AM,78,1,1,impatiens,Female,TRIREP,No,na,
Nachusa2020_0017,6/16/2020,flag_lowden,1,CRD,1:59:00 PM,2:37:00 PM,82,1,1,bimaculatus,Female,BLECIL,No,na,
Nachusa2020_0018,6/16/2020,flag_lowden,1,CRD,1:59:00 PM,2:37:00 PM,82,1,1,griseocollis,Female,BLECIL,No,na,
Nachusa2020_0019,6/16/2020,flag_lowden,1,CRD,1:59:00 PM,2:37:00 PM,82,1,1,griseocollis,Female,BLECIL,No,na,
Nachusa2020_0020,6/16/2020,flag_lowden,1,CRD,1:59:00 PM,2:37:00 PM,82,1,1,impatiens,Female,PENDIG,No,na,
Nachusa2020_0021,6/16/2020,flag_lowden,1,CRD,1:59:00 PM,2:37:00 PM,82,1,1,impatiens,Female,PENDIG,No,na,
Nachusa2020_0022,6/16/2020,clear_creek_knolls,1,CRD,3:46:00 PM,4:13:00 PM,84,1,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0023,6/16/2020,clear_creek_knolls,1,CRD,3:46:00 PM,4:13:00 PM,84,1,1,auricomus,Female,PENDIG,No,na,
Nachusa2020_0024,6/16/2020,clear_creek_knolls,1,CRD,3:46:00 PM,4:13:00 PM,84,1,1,bimaculatus,Female,TRIPRA,No,na,
Nachusa2020_0025,6/17/2020,rolling_thunder,1,CRD,9:55:00 AM,10:21:00 AM,77,2,1,griseocollis,Female,TRIPRA,No,na,
Nachusa2020_0026,6/17/2020,rolling_thunder,1,CRD,9:55:00 AM,10:21:00 AM,77,2,1,griseocollis,Female,TRIPRA,No,na,
