Unit,Subunit,area,DN,class_area,class_perc
Big_jump_center,Orland Center,718684.505371093750000,"5",16748.645,2.330
Big_jump_center,Orland Center,718684.505371093750000,"3",68607.560,9.546
Big_jump_center,Orland Center,718684.505371093750000,"7",32022.607,4.456
Big_jump_center,Orland Center,718684.505371093750000,"4",2999.625,0.417
Big_jump_center,Orland Center,718684.505371093750000,"1",216658.577,30.147
Big_jump_center,Orland Center,718684.505371093750000,"2",381541.217,53.089
Big_jump_east,Orland East,1172730.061401367187500,"5",5977.213,0.510
Big_jump_east,Orland East,1172730.061401367187500,"3",116197.264,9.908
Big_jump_east,Orland East,1172730.061401367187500,"7",189749.742,16.180
Big_jump_east,Orland East,1172730.061401367187500,"4",18075.689,1.541
Big_jump_east,Orland East,1172730.061401367187500,"1",371983.440,31.719
Big_jump_east,Orland East,1172730.061401367187500,"2",470585.907,40.127
Big_jump_east,Orland Little Blue Production,580314.102172851562500,"5",1799.763,0.310
Big_jump_east,Orland Little Blue Production,580314.102172851562500,"3",254514.996,43.858
Big_jump_east,Orland Little Blue Production,580314.102172851562500,"7",120799.481,20.816
Big_jump_east,Orland Little Blue Production,580314.102172851562500,"4",7168.028,1.235
Big_jump_east,Orland Little Blue Production,580314.102172851562500,"1",129776.201,22.363
Big_jump_east,Orland Little Blue Production,580314.102172851562500,"2",65278.347,11.249
Big_jump_east,Orland Little Blue Production,580314.102172851562500,"0",899.886,0.155
Williams,Williams,998342.432617187500000,"3",159735.630,16.000
Williams,Williams,998342.432617187500000,"7",320847.180,32.138
Williams,Williams,998342.432617187500000,"4",899.862,0.090
Williams,Williams,998342.432617187500000,"1",306935.800,30.745
Williams,Williams,998342.432617187500000,"2",209764.993,21.011
Tellabs,Tellabs Center,765402.626220703125000,"3",15526.447,2.029
Tellabs,Tellabs Center,765402.626220703125000,"7",22230.658,2.904
Tellabs,Tellabs Center,765402.626220703125000,"1",160224.782,20.933
Tellabs,Tellabs Center,765402.626220703125000,"2",567301.777,74.118
Tellabs,Tellabs West,682984.569458007812500,"3",145251.197,21.267
Tellabs,Tellabs West,682984.569458007812500,"7",65339.890,9.567
Tellabs,Tellabs West,682984.569458007812500,"1",118347.686,17.328
Tellabs,Tellabs West,682984.569458007812500,"2",353937.652,51.822
Senger,Senger,597246.498168945428915,"3",78321.164,13.114
Senger,Senger,597246.498168945428915,"7",123262.838,20.639
Senger,Senger,597246.498168945428915,"1",175853.172,29.444
Senger,Senger,597246.498168945428915,"2",219718.578,36.789
Holland,Holland West Savanna,517572.447631835937500,"3",5944.165,1.148
Holland,Holland West Savanna,517572.447631835937500,"7",14328.640,2.768
Holland,Holland West Savanna,517572.447631835937500,"1",117423.270,22.687
Holland,Holland West Savanna,517572.447631835937500,"2",379797.237,73.380
Tellabs,Tellabs East,601994.074707031250000,"3",3143.796,0.522
Tellabs,Tellabs East,601994.074707031250000,"7",2496.997,0.415
Tellabs,Tellabs East,601994.074707031250000,"1",73730.727,12.248
Tellabs,Tellabs East,601994.074707031250000,"2",522532.580,86.800
Flagg Lowden,Flagg Lowden,527579.993774414062500,"3",36425.783,6.904
Flagg Lowden,Flagg Lowden,527579.993774414062500,"7",139065.891,26.359
Flagg Lowden,Flagg Lowden,527579.993774414062500,"4",5910.274,1.120
Flagg Lowden,Flagg Lowden,527579.993774414062500,"1",226957.314,43.019
Flagg Lowden,Flagg Lowden,527579.993774414062500,"2",119152.364,22.585
Holland,Holland Prairie,1958001.481689453125000,"5",16425.683,0.839
Holland,Holland Prairie,1958001.481689453125000,"3",355244.220,18.143
Holland,Holland Prairie,1958001.481689453125000,"7",353211.219,18.039
Holland,Holland Prairie,1958001.481689453125000,"4",46776.791,2.389
Holland,Holland Prairie,1958001.481689453125000,"1",956863.161,48.869
Holland,Holland Prairie,1958001.481689453125000,"2",229203.857,11.706
Hook Larson,Hook Larson,1114575.302124023437500,"3",10117.492,0.908
Hook Larson,Hook Larson,1114575.302124023437500,"7",92096.495,8.263
Hook Larson,Hook Larson,1114575.302124023437500,"4",4499.395,0.404
Hook Larson,Hook Larson,1114575.302124023437500,"1",778027.793,69.805
Hook Larson,Hook Larson,1114575.302124023437500,"2",229677.764,20.607
Holland,Trap and Release Pasture,657618.941284179687500,"3",4164.243,0.633
Holland,Trap and Release Pasture,657618.941284179687500,"7",34094.650,5.185
Holland,Trap and Release Pasture,657618.941284179687500,"4",899.882,0.137
Holland,Trap and Release Pasture,657618.941284179687500,"1",590227.989,89.752
Holland,Trap and Release Pasture,657618.941284179687500,"2",28144.226,4.280
Doug Dot,Doug Dot,785832.323486328125000,"3",21312.538,2.712
Doug Dot,Doug Dot,785832.323486328125000,"7",119161.157,15.164
Doug Dot,Doug Dot,785832.323486328125000,"4",6970.622,0.887
Doug Dot,Doug Dot,785832.323486328125000,"1",537822.670,68.440
Doug Dot,Doug Dot,785832.323486328125000,"2",100456.673,12.783
Doug Dot,Dot's Knob,406253.041748046933208,"3",12230.374,3.011
Doug Dot,Dot's Knob,406253.041748046933208,"7",48851.134,12.025
Doug Dot,Dot's Knob,406253.041748046933208,"4",16197.795,3.987
Doug Dot,Dot's Knob,406253.041748046933208,"1",304824.261,75.033
Doug Dot,Dot's Knob,406253.041748046933208,"2",24093.971,5.931
Doug Dot,Doug's Knob,349207.579833984375000,"3",2037.033,0.583
Doug Dot,Doug's Knob,349207.579833984375000,"7",15806.903,4.527
Doug Dot,Doug's Knob,349207.579833984375000,"4",10497.154,3.006
Doug Dot,Doug's Knob,349207.579833984375000,"1",274637.280,78.646
Doug Dot,Doug's Knob,349207.579833984375000,"2",46180.927,13.224
Leopold Knob,Leopold Knob,442062.511596679687500,"3",1799.754,0.407
Leopold Knob,Leopold Knob,442062.511596679687500,"7",16402.770,3.711
Leopold Knob,Leopold Knob,442062.511596679687500,"4",9558.851,2.162
Leopold Knob,Leopold Knob,442062.511596679687500,"1",369490.229,83.583
Leopold Knob,Leopold Knob,442062.511596679687500,"2",44749.903,10.123
Rolling Thunder Prairie,Rolling Thunder Prairie,737570.287353515625000,"5",27285.420,3.699
Rolling Thunder Prairie,Rolling Thunder Prairie,737570.287353515625000,"3",6299.160,0.854
Rolling Thunder Prairie,Rolling Thunder Prairie,737570.287353515625000,"7",88057.068,11.939
Rolling Thunder Prairie,Rolling Thunder Prairie,737570.287353515625000,"4",139155.974,18.867
Rolling Thunder Prairie,Rolling Thunder Prairie,737570.287353515625000,"1",438015.517,59.386
Rolling Thunder Prairie,Rolling Thunder Prairie,737570.287353515625000,"2",38657.307,5.241
Visitor Use Area,Visitor Use Area,525268.077758789062500,"5",24443.572,4.654
Visitor Use Area,Visitor Use Area,525268.077758789062500,"7",62289.570,11.859
