site,area,cover_class,class_area,class_percentage
big_woods,652120.5092,3,1799.741,0.276
big_woods,652120.5092,7,15847.203,2.43
big_woods,652120.5092,4,4169.522,0.639
big_woods,652120.5092,1,359789.903,55.172
big_woods,652120.5092,2,270422.257,41.468
bishop_south,549106.5164,3,228090.498,41.538
bishop_south,549106.5164,7,57113.285,10.401
bishop_south,549106.5164,4,4499.444,0.819
bishop_south,549106.5164,1,237779.287,43.303
bishop_south,549106.5164,2,21557.094,3.926
clear_creek_knolls,1731064.214,3,771353.285,44.559
clear_creek_knolls,1731064.214,7,210226.506,12.144
clear_creek_knolls,1731064.214,4,47030.777,2.717
clear_creek_knolls,1731064.214,1,653042.802,37.725
clear_creek_knolls,1731064.214,2,49209.806,2.843
clear_creek_south,795495.9498,3,85419.029,10.738
clear_creek_south,795495.9498,7,115716.614,14.546
clear_creek_south,795495.9498,4,259316.922,32.598
clear_creek_south,795495.9498,1,319438.954,40.156
clear_creek_south,795495.9498,2,15510.558,1.95
conflower_trash_knob,506992.5315,5,9958.69,1.964
conflower_trash_knob,506992.5315,7,38498.197,7.593
conflower_trash_knob,506992.5315,4,31358.043,6.185
conflower_trash_knob,506992.5315,1,423650.309,83.561
conflower_trash_knob,506992.5315,2,3460.508,0.683
dots_knob,406253.0417,3,12230.374,3.011
dots_knob,406253.0417,7,48851.134,12.025
dots_knob,406253.0417,4,16197.795,3.987
dots_knob,406253.0417,1,304824.261,75.033
dots_knob,406253.0417,2,24093.971,5.931
doug_dot_unit,785832.3235,3,21312.538,2.712
doug_dot_unit,785832.3235,7,119161.157,15.164
doug_dot_unit,785832.3235,4,6970.622,0.887
doug_dot_unit,785832.3235,1,537822.67,68.44
doug_dot_unit,785832.3235,2,100456.673,12.783
dougs_knob,349207.5798,3,2037.033,0.583
dougs_knob,349207.5798,7,15806.903,4.527
dougs_knob,349207.5798,4,10497.154,3.006
dougs_knob,349207.5798,1,274637.28,78.646
dougs_knob,349207.5798,2,46180.927,13.224
east_hienkel,1086889.545,5,23396.792,2.153
east_hienkel,1086889.545,3,62015.427,5.706
east_hienkel,1086889.545,7,108247.243,9.959
east_hienkel,1086889.545,4,2699.619,0.248
east_hienkel,1086889.545,1,654518.012,60.219
east_hienkel,1086889.545,2,235862.58,21.701
eight_oaks,583390.0347,5,2642.209,0.453
eight_oaks,583390.0347,3,2699.616,0.463
eight_oaks,583390.0347,7,28369.673,4.863
eight_oaks,583390.0347,4,3674.048,0.63
eight_oaks,583390.0347,1,487306.031,83.53
eight_oaks,583390.0347,2,58616.562,10.048
flag_lowden,527579.9938,3,36425.783,6.904
flag_lowden,527579.9938,7,139065.891,26.359
flag_lowden,527579.9938,4,5910.274,1.12
flag_lowden,527579.9938,1,226957.314,43.019
