Unit,Subunit,area_ha,area,perimeter,fid,DN,cover_clas,class_perc
Big_jump_center,Orland Center,24.973,1828626.722167968750000,7317.214870515836083,52,"5",85017.867,4.649
Big_jump_center,Orland Center,24.973,1828626.722167968750000,7317.214870515836083,23,"3",150364.467,8.223
Big_jump_center,Orland Center,24.973,1828626.722167968750000,7317.214870515836083,1,"7",143325.780,7.838
Big_jump_center,Orland Center,24.973,1828626.722167968750000,7317.214870515836083,281,"4",4608.650,0.252
Big_jump_center,Orland Center,24.973,1828626.722167968750000,7317.214870515836083,3,"1",506249.981,27.685
Big_jump_center,Orland Center,24.973,1828626.722167968750000,7317.214870515836083,6,"2",938791.287,51.339
Big_jump_east,Orland East,74.306,2680301.675415039062500,10843.302417719989535,52,"5",172386.818,6.432
Big_jump_east,Orland East,74.306,2680301.675415039062500,10843.302417719989535,799,"6",899.869,0.034
Big_jump_east,Orland East,74.306,2680301.675415039062500,10843.302417719989535,23,"3",382798.050,14.282
Big_jump_east,Orland East,74.306,2680301.675415039062500,10843.302417719989535,1,"7",440850.879,16.448
Big_jump_east,Orland East,74.306,2680301.675415039062500,10843.302417719989535,281,"4",23163.656,0.864
Big_jump_east,Orland East,74.306,2680301.675415039062500,10843.302417719989535,3,"1",678216.245,25.304
Big_jump_east,Orland East,74.306,2680301.675415039062500,10843.302417719989535,6,"2",981615.830,36.623
Big_jump_east,Orland Little Blue Production,11.310,1552605.559204101562500,6212.921256408975751,52,"5",1799.763,0.116
Big_jump_east,Orland Little Blue Production,11.310,1552605.559204101562500,6212.921256408975751,23,"3",607422.836,39.123
Big_jump_east,Orland Little Blue Production,11.310,1552605.559204101562500,6212.921256408975751,1,"7",222886.410,14.356
Big_jump_east,Orland Little Blue Production,11.310,1552605.559204101562500,6212.921256408975751,281,"4",18230.825,1.174
Big_jump_east,Orland Little Blue Production,11.310,1552605.559204101562500,6212.921256408975751,3,"1",466122.794,30.022
