site,area_ha,area_m,cover_class,cover_class_area,class_percentage
big_woods,16.734,1675311.799,5,2699.623,0.161
big_woods,16.734,1675311.799,3,8440.235,0.504
big_woods,16.734,1675311.799,7,81719.83,4.878
big_woods,16.734,1675311.799,4,30620.377,1.828
big_woods,16.734,1675311.799,1,924689.303,55.195
big_woods,16.734,1675311.799,2,626905.707,37.42
bishop_south,11.427,1490654.45,3,625647.786,41.971
bishop_south,11.427,1490654.45,7,143953.431,9.657
bishop_south,11.427,1490654.45,4,21256.526,1.426
bishop_south,11.427,1490654.45,1,659718.403,44.257
bishop_south,11.427,1490654.45,2,39896.053,2.676
clear_creek_knolls,166.683,3816821.494,3,1830354.343,47.955
clear_creek_knolls,166.683,3816821.494,7,557119.917,14.596
clear_creek_knolls,166.683,3816821.494,4,105904.021,2.775
clear_creek_knolls,166.683,3816821.494,1,1253826.006,32.85
clear_creek_knolls,166.683,3816821.494,2,69174.024,1.812
clear_creek_knolls,32.289,1983427.378,3,408209,20.581
clear_creek_south,32.289,1983427.378,7,262963.437,13.258
clear_creek_south,32.289,1983427.378,4,557012.787,28.083
clear_creek_south,32.289,1983427.378,1,721723.744,36.388
clear_creek_south,32.289,1983427.378,2,33282.589,1.678
conflower_trash_knob,6.861,1399695.097,5,33295.625,2.379
conflower_trash_knob,6.861,1399695.097,3,14112.052,1.008
conflower_trash_knob,6.861,1399695.097,7,131664.214,9.407
conflower_trash_knob,6.861,1399695.097,4,63751.911,4.555
conflower_trash_knob,6.861,1399695.097,1,1117692.121,79.853
conflower_trash_knob,6.861,1399695.097,2,38994.166,2.786
dots_knob,3.88,1203120.566,3,20876.428,1.735
dots_knob,3.88,1203120.566,7,137684.955,11.444
dots_knob,3.88,1203120.566,4,25075.508,2.084
dots_knob,3.88,1203120.566,1,901487.232,74.929
dots_knob,3.88,1203120.566,2,117832.136,9.794
doug_dot_unit,20.801,1921040.078,5,4241.395,0.221
doug_dot_unit,20.801,1921040.078,3,23204.17,1.208
doug_dot_unit,20.801,1921040.078,7,167674.386,8.728
doug_dot_unit,20.801,1921040.078,4,26996.332,1.405
doug_dot_unit,20.801,1921040.078,1,1429130.666,74.394
doug_dot_unit,20.801,1921040.078,2,269527.979,14.03
dougs_knob,2.5,1090027.867,3,18443.784,1.692
dougs_knob,2.5,1090027.867,7,77104.394,7.074
dougs_knob,2.5,1090027.867,4,26065.882,2.391
dougs_knob,2.5,1090027.867,1,776939.519,71.277
dougs_knob,2.5,1090027.867,2,191323.659,17.552
