site,area_ha,area_m,cover_class,cover_class_area,class_percentage
big_woods,16.734,4894598.665,2,1525708.909,31.171
big_woods,16.734,4894598.665,1,2594823.273,53.014
big_woods,16.734,4894598.665,7,358170.843,7.318
big_woods,16.734,4894598.665,5,58491.919,1.195
big_woods,16.734,4894598.665,4,73554.927,1.503
big_woods,16.734,4894598.665,3,283156.824,5.785
bishop_south,11.427,4551074.564,1,1838027.625,40.387
bishop_south,11.427,4551074.564,2,472712.561,10.387
bishop_south,11.427,4551074.564,3,1563514.726,34.355
bishop_south,11.427,4551074.564,4,136221.156,2.993
bishop_south,11.427,4551074.564,7,540043.881,11.866
clear_creek_knolls,166.683,9113144.525,3,4778529.353,52.436
clear_creek_knolls,166.683,9113144.525,2,263303.572,2.889
clear_creek_knolls,166.683,9113144.525,1,2424304.442,26.602
clear_creek_knolls,166.683,9113144.525,7,1340454.047,14.709
clear_creek_knolls,166.683,9113144.525,5,4499.554,0.049
clear_creek_knolls,166.683,9113144.525,4,300994.777,3.303
clear_creek_south,32.289,5536596.657,7,703064.313,12.698
clear_creek_south,32.289,5536596.657,1,1833953.454,33.124
clear_creek_south,32.289,5536596.657,5,20528.628,0.371
clear_creek_south,32.289,5536596.657,4,921975.37,16.652
clear_creek_south,32.289,5536596.657,3,1968937.118,35.562
clear_creek_south,32.289,5536596.657,2,87476.777,1.58
conflower_trash_knob,6.861,4356612.199,5,45358.661,1.041
conflower_trash_knob,6.861,4356612.199,7,433677.924,9.954
conflower_trash_knob,6.861,4356612.199,2,261082.788,5.993
conflower_trash_knob,6.861,4356612.199,1,2820568.535,64.742
conflower_trash_knob,6.861,4356612.199,4,394350.327,9.052
conflower_trash_knob,6.861,4356612.199,3,400998.474,9.204
dots_knob,3.88,3973548.474,7,341683.12,8.599
dots_knob,3.88,3973548.474,1,2715405.83,68.337
dots_knob,3.88,3973548.474,2,627043.59,15.78
dots_knob,3.88,3973548.474,3,64286.868,1.618
dots_knob,3.88,3973548.474,4,191289.98,4.814
dots_knob,3.88,3973548.474,5,33295.625,0.838
doug_dot_unit,20.801,5361643.614,2,992664.528,18.514
doug_dot_unit,20.801,5361643.614,1,3464156.377,64.61
doug_dot_unit,20.801,5361643.614,7,444218.256,8.285
doug_dot_unit,20.801,5361643.614,5,35995.248,0.671
doug_dot_unit,20.801,5361643.614,4,212454.363,3.962
doug_dot_unit,20.801,5361643.614,3,211415.495,3.943
dougs_knob,2.5,3748787.494,5,35995.248,0.96
dougs_knob,2.5,3748787.494,7,328558.501,8.764
dougs_knob,2.5,3748787.494,1,2402411.68,64.085
dougs_knob,2.5,3748787.494,2,849833.705,22.67
dougs_knob,2.5,3748787.494,3,30311.719,0.809
dougs_knob,2.5,3748787.494,4,101158.694,2.698
east_hienkel,36.979,6465234.588,2,1171150.649,18.115
east_hienkel,36.979,6465234.588,1,3208575.423,49.628
east_hienkel,36.979,6465234.588,7,1090001.93,16.859
east_hienkel,36.979,6465234.588,5,35379.823,0.547
east_hienkel,36.979,6465234.588,4,175542.115,2.715
east_hienkel,36.979,6465234.588,3,783689.646,12.122
eight_oaks,7.237,4645560.255,7,301912.494,6.499
eight_oaks,7.237,4645560.255,5,40267.788,0.867
eight_oaks,7.237,4645560.255,4,100899.778,2.172
eight_oaks,7.237,4645560.255,3,183949.861,3.96
eight_oaks,7.237,4645560.255,2,1306001.114,28.113
eight_oaks,7.237,4645560.255,1,2711877.449,58.376
flag_lowden,7.493,4454448.515,4,54759.386,1.229
flag_lowden,7.493,4454448.515,3,839761.866,18.852
flag_lowden,7.493,4454448.515,6,899.874,0.02
flag_lowden,7.493,4454448.515,5,49688.92,1.115
flag_lowden,7.493,4454448.515,2,637466.512,14.311
flag_lowden,7.493,4454448.515,1,2105443.043,47.266
flag_lowden,7.493,4454448.515,7,765851.658,17.193
gobbler_ridge,3.002,3888852.458,1,1925978.716,49.526
gobbler_ridge,3.002,3888852.458,2,181250.6,4.661
gobbler_ridge,3.002,3888852.458,3,1197138.851,30.784
gobbler_ridge,3.002,3888852.458,4,168801.316,4.341
gobbler_ridge,3.002,3888852.458,7,415212.614,10.677
gobbler_ridge,43.502,5823016.721,3,1615363.943,27.741
gobbler_ridge,43.502,5823016.721,2,641530.081,11.017
gobbler_ridge,43.502,5823016.721,1,2609666.788,44.816
gobbler_ridge,43.502,5823016.721,7,809675.679,13.905
gobbler_ridge,43.502,5823016.721,5,3529.698,0.061
gobbler_ridge,43.502,5823016.721,4,142522.932,2.448
holland_prairie_east,130.804,9742863.722,1,4210713.224,43.218
holland_prairie_east,130.804,9742863.722,2,1910838.327,19.613
holland_prairie_east,130.804,9742863.722,3,893035.122,9.166
holland_prairie_east,130.804,9742863.722,4,713552.31,7.324
holland_prairie_east,130.804,9742863.722,5,172036.076,1.766
holland_prairie_east,130.804,9742863.722,6,2699.62,0.028
holland_prairie_east,130.804,9742863.722,7,1838613.537,18.871
holland_prairie_west,130.804,9742863.722,1,4210713.224,43.218
holland_prairie_west,130.804,9742863.722,2,1910838.327,19.613
holland_prairie_west,130.804,9742863.722,3,893035.122,9.166
holland_prairie_west,130.804,9742863.722,4,713552.31,7.324
holland_prairie_west,130.804,9742863.722,5,172036.076,1.766
holland_prairie_west,130.804,9742863.722,6,2699.62,0.028
holland_prairie_west,130.804,9742863.722,7,1838613.537,18.871
hook_larson,58.775,6812549.335,1,3143453.464,46.142
hook_larson,58.775,6812549.335,2,1871734.163,27.475
hook_larson,58.775,6812549.335,3,565989.477,8.308
hook_larson,58.775,6812549.335,4,251769.512,3.696
hook_larson,58.775,6812549.335,5,35135.221,0.516
hook_larson,58.775,6812549.335,7,943529.411,13.85
isabells_knob,4.162,3981234.993,5,56712.862,1.425
isabells_knob,4.162,3981234.993,7,587305.401,14.752
isabells_knob,4.162,3981234.993,1,2116092.158,53.152
isabells_knob,4.162,3981234.993,2,247927.489,6.227
isabells_knob,4.162,3981234.993,3,799225.541,20.075
isabells_knob,4.162,3981234.993,4,173453.293,4.357
kittentail_knob,12.527,4608441.77,1,2378026.055,51.602
kittentail_knob,12.527,4608441.77,4,51998.031,1.128
kittentail_knob,12.527,4608441.77,5,38803.479,0.842
kittentail_knob,12.527,4608441.77,2,1349727.564,29.288
kittentail_knob,12.527,4608441.77,3,477233.17,10.356
kittentail_knob,12.527,4608441.77,7,311994.647,6.77
leopold_knob,4.976,4095490.151,7,344298.662,8.407
leopold_knob,4.976,4095490.151,5,35995.248,0.879
leopold_knob,4.976,4095490.151,3,27727.968,0.677
leopold_knob,4.976,4095490.151,4,133459.729,3.259
leopold_knob,4.976,4095490.151,1,2561185.166,62.537
leopold_knob,4.976,4095490.151,2,992257.445,24.228
main_unit_knobs,30.83,5940594.484,5,62991.559,1.06
main_unit_knobs,30.83,5940594.484,3,847246.331,14.262
main_unit_knobs,30.83,5940594.484,4,236203.43,3.976
main_unit_knobs,30.83,5940594.484,1,3104966.238,52.267
main_unit_knobs,30.83,5940594.484,2,945478.368,15.916
main_unit_knobs,30.83,5940594.484,7,742910.957,12.506
naylor_road,13.595,4675707.781,2,1115398.048,23.855
naylor_road,13.595,4675707.781,3,466241.974,9.972
naylor_road,13.595,4675707.781,1,1989603.172,42.552
naylor_road,13.595,4675707.781,7,837283.49,17.907
naylor_road,13.595,4675707.781,4,239513.7,5.123
naylor_road,13.595,4675707.781,5,26996.311,0.577
no_name_knob,6.791,4174546.43,5,55317.52,1.325
no_name_knob,6.791,4174546.43,7,503347.642,12.058
no_name_knob,6.791,4174546.43,2,194047.886,4.648
no_name_knob,6.791,4174546.43,1,2405660.897,57.627
no_name_knob,6.791,4174546.43,4,341298.788,8.176
no_name_knob,6.791,4174546.43,3,674331.987,16.153
oak_island,11.549,4504181.822,1,2701120.108,59.969
oak_island,11.549,4504181.822,3,203006.971,4.507
oak_island,11.549,4504181.822,2,1142926.693,25.375
oak_island,11.549,4504181.822,5,40494.503,0.899
oak_island,11.549,4504181.822,4,80185.733,1.78
oak_island,11.549,4504181.822,7,335817.966,7.456
big_jump_center,24.973,5224155.74,7,753701.258,14.427
big_jump_center,24.973,5224155.74,5,259455.637,4.966
big_jump_center,24.973,5224155.74,6,2525.801,0.048
big_jump_center,24.973,5224155.74,3,602122.655,11.526
